A-nummer,Bsn Nummer,Voornamen,VoornaamZonderDiak,AdellijkeTitelPredikaat,VoorvoegselGeslachtsnaam,Geslachtsnaam,GeslachtsnaamZonderDiak,GeslachtsnaamSoundex,GeslachtsnaamTransliteratie,Geboortedatum,Geboorteplaats,Geboorteland,Geslachtsaanduiding,AanduidingGegevensInOnderzoekPersoon,DatumIngangOnderzoekPersoon,DatumEindeOnderzoekPersoon,Nationaliteit,AanduidingGegevensInOnderzoekNationaliteit,DatumIngangOnderzoekNationaliteit,DatumEindeOnderzoekNationaliteit,DatumOverlijden,AanduidingGegevensInOnderzoekOverlijden,DatumIngangOnderzoekOverlijden,DatumEindeOnderzoekOverlijden,OmschrijvingRedenOpschorting,IndicatieGeheim,GemeenteVanInschrijving,FunctieAdres,Gemeentedeel,Straatnaam,Huisnummer,Huisletter,HuisnummerToevoeging,AanduidingBijHuisnummer,Postcode,Woonplaatsnaam,Locatiebeschrijving,LandAdresBuitenland,DatumAanvangAdresBuitenland,Regel1AdresBuitenland,Regel2AdresBuitenland,Regel3AdresBuitenland,LandVanwaarIngeschreven,AanduidingGegevensInOnderzoekAdres,DatumIngangOnderzoekAdres,DatumEindeOnderzoekAdres,VoorvoegselEnGeslachtsnaam,HuisnummerCijfers
NULL,690002592,Michiel,michiel,NULL,NULL,Valentijn,valentijn,NULL,NULL,20051228,Utrecht,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Driebergen,NULL,NULL,Chinastraat,40,NULL,NULL,NULL,7196IH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690002774,Jort,jort,NULL,de,Kelder,kelder,NULL,NULL,20080314,Volendam,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Volendam,NULL,NULL,Zeekade,8,c,NULL,NULL,1295SD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690003262,Vivian,vivian,NULL,de,Kelder,kelder,NULL,NULL,20060314,Hoorn,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Maastricht,NULL,NULL,Lange Voorhout,39,NULL,NULL,NULL,3902SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690003602,Youssef,Youssef,NULL,NULL,Cisse,cisse,NULL,NULL,20070901,Luxor,Egypte,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Groningen,NULL,NULL,Vaste pad,63,NULL,NULL,NULL,9578AK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690004345,Rogier,rogier,NULL,NULL,Borst,borst,NULL,NULL,19990302,Ter Aar,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rotterdam,NULL,NULL,Morgen,130,a,NULL,NULL,4781XH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690004576,Susanne,susanne,NULL,NULL,Borst,borst,NULL,NULL,20021116,Ter Aar,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Delft,NULL,NULL,Paradijsweg,79,NULL,NULL,NULL,3312MR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690004874,Amy,amy,NULL,NULL,Borst,borst,NULL,NULL,20031228,Nieuwkoop,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ter Aar,NULL,NULL,Larikslaan,26,NULL,NULL,NULL,2461YK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690005787,Peter,peter,NULL,NULL,Borst,borst,NULL,NULL,19900812,Amsterdam,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ter Aar,NULL,NULL,Larikslaan,26,NULL,NULL,NULL,2461YK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690006135,Ria,ria,NULL,NULL,Borst,borst,NULL,NULL,19910420,Den Haag,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ter Aar,NULL,NULL,Larikslaan,26,NULL,NULL,NULL,2461YK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690006871,Kees,kees,NULL,de,Zolder,zolder,NULL,NULL,19990705,Utrecht,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Groningen,NULL,NULL,Vaste pad,64,NULL,NULL,NULL,9578AK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690006950,Fatima,fatima,NULL,NULL,Bizmir,bizmir,NULL,NULL,19991112,Istanbul,Turkije,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Delft,NULL,NULL,Paradijsweg,79,NULL,NULL,NULL,3312MR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690007450,Michiel,michiel,NULL,NULL,Borst,borst,NULL,NULL,20051229,Utrecht,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Driebergen,NULL,NULL,Chinastraat,41,NULL,NULL,NULL,7196IH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690008302,Jort,jort,NULL,de,Zolder,zolder,NULL,NULL,20080315,Volendam,Nederland,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Volendam,NULL,NULL,Zeekade,9,c,NULL,NULL,1295SD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690008831,Vivian,vivian,NULL,de,Zolder,zolder,NULL,NULL,20060315,Hoorn,Nederland,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Maastricht,NULL,NULL,Lange Voorhout,40,NULL,NULL,NULL,3902SL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690009240,Youssef,youssef,NULL,NULL,Kanu,kanu,NULL,NULL,20070902,Luxor,Egypte,M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Groningen,NULL,NULL,Vaste pad,64,NULL,NULL,NULL,9578AK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Nederland,NULL,NULL,NULL,NULL,NULL
NULL,690009264,Anita,anita,NULL,NULL,Jansen,jansen,NULL,52n3en,19710101,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,jansen,55
NULL,690009410,Jan,jan,NULL,de,Jager,jager,NULL,52ger,19701201,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690009422,Jaffe,jaffe,NULL,de,Jager,jager,NULL,52ger,20050101,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690009446,Zeus,zeus,NULL,de,Jager,jager,NULL,52ger,20031231,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690009823,Morpheus,morpheus,NULL,de,Jager,jager,NULL,52ger,20030101,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,20030115,NULL,NULL,NULL,O,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690009872,Hera,hera,NULL,de,Jager,jager,NULL,52ger,20011231,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690009963,Jael,jael,NULL,de,Jager,jager,NULL,52ger,20000101,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690010394,Marthe,marthe,NULL,de,Jager,jager,NULL,52ger,19980101,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690010527,Estrella,estrella,NULL,de,Jager,jager,NULL,52ger,19940101,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690011064,Odessa,odessa,NULL,de,Jager,jager,NULL,52ger,19920101,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690011118,Mirik,mirik,NULL,de,Jager,jager,NULL,52ger,20100101,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690011246,Paolo,paolo,NULL,de,Jager,jager,NULL,52ger,20090101,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Acacia,55,NULL,NULL,NULL,3224EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dejager,55
NULL,690011714,Leo,leo,NULL,NULL,Lampekap,lampekap,NULL,l2mpek2p,19800123,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,lampekap,555
NULL,690011891,Babette,babette,NULL,NULL,Brandweer,brandweer,NULL,br2nd1er,19800123,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,brandweer,555
NULL,690013048,Bruno,bruno,NULL,NULL,Lampekap,lampekap,NULL,l2mpek2p,20050123,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,lampekap,555
NULL,690013449,Lennert,lennert,NULL,NULL,Lapzwans,lapzwans,NULL,l2pz12n3,19800123,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,lapzwans,555
NULL,690013619,Barbara,barbara,NULL,NULL,Bultenaar,bultenaar,NULL,b6lten2r,19800123,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,bultenaar,555
NULL,690013711,Berend,berend,NULL,NULL,Bultenaar,bultenaar,NULL,b6lten2r,20050123,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,bultenaar,555
NULL,690013802,Fortinbras,fortinbras,NULL,NULL,Bultenaar,bultenaar,NULL,b6lten2r,20060124,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,bultenaar,555
NULL,690013899,Horatio,horatio,NULL,NULL,Bultenaar,bultenaar,NULL,b6lten2r,20070125,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,bultenaar,555
NULL,690014053,Laertes,laertes,NULL,NULL,Bultenaar,bultenaar,NULL,b6lten2r,20080126,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Eik,555,NULL,NULL,NULL,3224TB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,bultenaar,555
NULL,690014077,Poseidon,poseidon,NULL,NULL,Lapzwans,lapzwans,NULL,l2pz12n3,20001220,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,lapzwans,55
NULL,690014247,Polyphemos,polyphenos,NULL,NULL,Homeros,homeros,NULL,6mer63,19921220,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690014508,Hermes,hernes,NULL,NULL,Homeros,homeros,NULL,6mer63,19971220,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690014612,Circe,circe,NULL,NULL,Homeros,homeros,NULL,6mer63,20021220,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,20091201,NULL,NULL,NULL,O,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690014648,Odin,odin,NULL,NULL,Asgaard,asgaard,NULL,23g2rd,20021220,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Zenit,55,NULL,NULL,NULL,3225VG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,asgaard,55
NULL,690014764,Thor ,thor ,NULL,NULL,Asgaard,asgaard,NULL,23g2rd,19980126,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Zenit,55,NULL,NULL,NULL,3225VG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,asgaard,55
NULL,690014995,Freya,freya,NULL,NULL,Asgaard,asgaard,NULL,23g2rd,20021220,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Zenit,55,NULL,NULL,NULL,3225VG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,asgaard,55
NULL,690015483,Njord,njord,NULL,NULL,Asgaard,asgaard,NULL,23g2rd,20021220,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Zenit,55,NULL,NULL,NULL,3225VG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,asgaard,55
NULL,690015513,Loki,loki,NULL,NULL,Asgaard,asgaard,NULL,23g2rd,20021220,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Zenit,55,NULL,NULL,NULL,3225VG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,asgaard,55
NULL,690015574,Odysseus,odysseus,NULL,NULL,Homeros,homeros,NULL,6mer63,19911230,Hellevoetsluis,Nederland,M,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690015987,Ithaka,Ithaka,NULL,NULL,Homeros,homeros,NULL,6mer63,19911229,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690016578,Antikleia,antikleia,NULL,NULL,Homeros,homeros,NULL,6mer63,19931228,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
NULL,690017169,Penelope,penelope,NULL,NULL,Homeros,homeros,NULL,6mer63,19911227,Hellevoetsluis,Nederland,V,NULL,NULL,NULL,Nederlandse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,Hellevoetsluis,NULL,NULL,Jasmijn,55,NULL,NULL,NULL,3224RC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,homeros,55
