artikel omschrijving,artikel nr,artikelnummer als reden voor verzoek,Signalerende Instantie,Contactpersoon,telefoonnummer_contactpersoon,contactpersoon email,postadres regel 1 instantie,postadres regel 2 instantie,Opname in OPS,reisdocument geldig tot,reisdocumentnummer,startdatum_voor_de_verplichiting,totale_vorderingsbedrag_op_dit_moment,Zaaknummer,voornamen,voorvoegsel,geslachtsnaam,bsn,geboortedatum,geboorteplaats,geboorteland,nationaliteit,adres gesignaleerde,postcode,gemeente van inschrijving,land,aantekeningen,Datum opname,Datum van opheffing signalering
Aanvraag paspoort signalering,22,"d. Betrokkene is nalatig in het nakomen van een wettelijk op hem rustende onderhoudsverplichting dan wel een bij uitspraak van een rechter in het Koninkrijk vastgestelde onderhoudsverplichting,",SVB Roermond,N. Hickorkmaz,,blaaskaak@tandarts.nl,Simon de Vrieshof 1,2003 RP Haarlem,Ja,42879,XX12344556,06-04-2010,"11302,83",,Johan Wilhelmus Hubert,van,Abukar,,18-01-1976,Arnhem,,,,,Duiven,,"Achterstand per 31/1/2012 € 48.257,16; lop.verpl.pm € 437,16; zaaknummer xxxxxxx/Vliet-xxxxxx;
Archief Ref. BPRXXXXX
Reden: 
KG- geen adres bekend. Info New York(6/5/2010); 16-2-2012 - met melding OPS wachten tot bekend is of betrokkene een pp. heeft. Mail gezonden aan BUZA om informatie uit Amerika.",16-02-2012,16-02-2014
Aanvraag paspoort signalering,22,"d. Betrokkene is nalatig in het nakomen van een wettelijk op hem rustende onderhoudsverplichting dan wel een bij uitspraak van een rechter in het Koninkrijk vastgestelde onderhoudsverplichting,",SVB Roermond,J. Tuinman,,blaaskaak@tandarts.nl,Simon de Vrieshof 1,2003 RP Haarlem,Nee,,,40761,50000,,Giovanni Felipe,,Aderaaaaaa,,19-03-1993,Chillan,,,,,,,,16-02-2012,16-02-2014
Aanvraag paspoort signalering,22,"a. Betrokkene is nalatig in het nakomen van zijn verplichting tot betaling van in een der landen van het Koninkrijk verschuldigde belastingen of premies inzake sociale verzekeringen,",Rechtbank te Amsterdam,W. Scholtus,,blaaskaak@tandarts.nl,Postbus 1100,3900 BC Veenendaal,Nee,,,24-08-2010,"65956,94",2010/3045,Antoon,,Hashim,,02-05-1963,Breda,,,,,,,,07-02-2012,07-02-2014
Aanvraag paspoort signalering,22,"d. Betrokkene is nalatig in het nakomen van een wettelijk op hem rustende onderhoudsverplichting dan wel een bij uitspraak van een rechter in het Koninkrijk vastgestelde onderhoudsverplichting,",SVB Roermond,mw. P.Reeskamp,,blaaskaak@tandarts.nl,,,Nee,,,07-09-2010,"22872,01",263012/122905/268264,Ahmed,van,Hehanussa,,21-09-1952,Luanda,,,,,,,,17-11-2011,17-11-2013
Verzoek / informatie verstrekking opameregister,24b,,Rechtbank te Middelburg,C. Veenema,,blaaskaak@tandarts.nl,Martinetsingel 2,7200 GP Zutphen,Nee,,,,,,Rudolf Hendrik Marten,,Acharrab,,21-02-1962,Amsterdam,,,,,,,"meervoudige vermissing van het reisdocument(3x binnen 5 jr.); verzoekende autoriteit; gemeente Lelystad;afdeling Burgerzaken;
Archief Ref.
Reden: 
Signaal 2; KG2011; verzoek",07-12-2011,07-12-2013
Verzoek / informatie verstrekking opameregister,24b,,Rechtbank te Assen,J. Tuinman,,blaaskaak@tandarts.nl,St. Annadal 1,6201 BZ Maastricht,Nee,,,,,,Mitchell,,Adde,,07-10-1978,Leiden,,,,,Schouwen-Duiveland,,"meervoudige vermissing van het reisdocument(3x binnen 5 jr.); Informerende autoriteit; gemeente Emmen;afdeling Publiekszaken; 
Archief Ref. BPRXXXXXXX
Reden: 
Signaal 2; KG2012; INFOV.",04-04-2012,04-04-2014
Verzoek / informatie verstrekking opameregister,24b,,Rechtbank te Assen,R. Dijksterhuis,040-23xxxxxx,blaaskaak@tandarts.nl,St. Annadal 1,6201 BZ Maastricht,Nee,,,,, IRCnr. 2000132001,Said,,Adunmo,,14-02-1975,Baidoba,,,,,,,"meervoudige vermissing van het reisdocument(3x binnen 5 jr.); Informerende autoriteit; gemeenteAmsterdam(Stdeel Zuidoost); afdeling Burgerzaken; 
Archief Ref. BPRXXXXX
Reden: 
Signaal 2; KG2012; INFOV.",12-03-2012,12-03-2014
Verzoek / informatie verstrekking opameregister,24b,,Rechtbank te Middelburg,R. v.d. Weert,038-751xxxxxx,blaaskaak@tandarts.nl,Martinetsingel 2,7200 GP Zutphen,Ja,,,,,,Axmed,,Afua Cudjoe,,30-12-1965,Maastricht,,,,,,,,17-08-2011,17-08-2013
Verzoek tot opneming of handhaving in het register paspoortsignalering,"47, 48",,Rechtbank te Middelburg,S.M. Regeling,038-751xxxxxx,blaaskaak@tandarts.nl,Martinetsingel 2,7200 GP Zutphen,Ja,41713,XX12344556,,,,Pieter Joris,,Abdullahi,,01-10-1961,Delft,,,,,Duiven,,,11-07-2012,11-07-2014
Verzoek tot opneming of handhaving in het register paspoortsignalering,"47, 48",,UWV,dhr. D-J. Nauta,,blaaskaak@tandarts.nl,Zaailand 102,8900 JA Leeuwarden,Ja,42216,XX12344557,,,WOTS-no,Monique Renata,,Adang,,26-11-1985,Baidoba,,,,,,,,11-07-2012,11-07-2014
Verzoek tot opneming of handhaving in het register paspoortsignalering,"47, 48",,UWV,dhr. D-J. Nauta,,blaaskaak@tandarts.nl,Zaailand 102,8900 JA Leeuwarden,Ja,42005,XX12344558,,,,Louwdia Maryke,,Adanir,,27-02-1978,Paramaribo,,,,,,,,11-07-2012,11-07-2014
Verzoek tot opneming of handhaving in het register paspoortsignalering,"47, 48",,Rechtbank te Middelburg,A. Demiral,,blaaskaak@tandarts.nl,Martinetsingel 2,7200 GP Zutphen,Ja,42533,XX12344559,,,F 09/1,Ali Kariem,,Beaumont,,01-01-1963,Gaziantep,,,,,Schouwen-Duiveland,,,11-07-2012,11-07-2014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2013,14-05-2015
