NR.,01.01.10,01.01.20,01.02.10,01.02.20,01.02.30,01.02.40,01.03.10,01.03.20,01.03.30,01.04.10,01.20.10,01.20.20,01.61.10,01.81.10,01.81.20,01.82.10,01.82.20,01.82.30,01.83.10,01.83.20,01.83.30,01.84.10,01.85.10,01.86.10,01.H,02.01.10,02.01.20,02.02.10,02.02.20,02.02.30,02.02.40,02.03.10,02.03.20,02.03.30,02.04.10,02.62.10,02.81.10,02.81.20,02.82.10,02.82.20,02.82.30,02.83.10,02.83.20,02.83.30,02.84.10,02.85.10,02.86.10,02.H,03.01.10,03.01.20,03.02.10,03.02.20,03.02.30,03.02.40,03.03.10,03.03.20,03.03.30,03.04.10,03.62.10,03.81.10,03.81.20,03.82.10,03.82.20,03.82.30,03.83.10,03.83.20,03.83.30,03.84.10,03.85.10,03.86.10,03.H,04.05.10,04.63.10,04.64.10,04.65.10,04.82.10,04.82.20,04.82.30,04.83.10,04.83.20,04.83.30,04.84.10,04.85.10,04.86.10,04.H,05.01.10,05.01.20,05.02.10,05.02.20,05.02.30,05.02.40,05.03.10,05.03.20,05.03.30,05.04.10,05.06.10,05.06.20,05.06.30,05.07.10,05.07.20,05.07.30,05.07.40,05.15.10,05.81.10,05.81.20,05.82.10,05.82.20,05.82.30,05.83.10,05.83.20,05.83.30,05.84.10,05.85.10,05.86.10,05.H,06.08.10,06.08.20,06.08.30,06.81.10,06.81.20,06.82.10,06.82.20,06.82.30,06.83.10,06.83.20,06.83.30,06.84.10,06.85.10,06.86.10,06.H,07.66.20,07.67.10,07.67.20,07.68.10,07.69.10,07.70.10,07.80.10,07.80.20,07.87.10,07.H,08.09.10,08.09.20,08.10.10,08.10.20,08.10.30,08.11.10,08.11.15,08.11.20,08.11.30,08.11.40,08.11.50,08.11.60,08.11.70,08.11.80,08.11.90,08.12.10,08.13.10,08.13.20,08.13.30,08.13.40,08.13.50,08.14.10,08.14.20,08.72.10,08.75.10,08.83.10,08.83.20,08.83.30,08.84.10,08.85.10,08.86.10,08.H,09.01.10,09.01.20,09.02.10,09.02.20,09.02.30,09.02.40,09.03.10,09.03.20,09.03.30,09.81.10,09.81.20,09.82.10,09.82.20,09.82.30,09.83.10,09.83.20,09.83.30,09.84.10,09.85.10,09.86.10,09.H,10.39.10,10.39.20,10.39.30,10.83.10,10.83.20,10.83.30,10.84.10,10.85.10,10.86.10,10.H,11.32.10,11.33.10,11.82.10,11.82.20,11.82.30,11.83.10,11.83.20,11.83.30,11.84.10,11.85.10,11.86.10,11.H,12.35.10,12.35.20,12.35.30,12.35.40,12.35.50,12.35.60,12.35.70,12.35.80,12.36.10,12.37.10,12.82.10,12.82.20,12.82.30,12.83.10,12.83.20,12.83.30,12.85.10,12.86.10,12.H,13.31.10,13.31.20,13.31.30,13.38.10,13.38.20,13.82.10,13.82.20,13.82.30,13.H,14.40.10,14.85.10,14.H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,19950501,,,,,19950501,20001106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4079354878,299999968,Sherida,,,Malhoe,19500101,Paramaribo,5007,V,,,E,,,1804,19900427,PKA,,,,,19500101,19900427,,4159473470,300931918, ,,van,Hout,19340815,Paramaribo,5007,V,19500101,,,1804,19940505,PL gerelateerde,,,,,19940505,19940505,,,,Ronnie,,,Malhoe,19320329,Paramaribo,5007,M,19500101,,,1804,19900427,PK,,,,,19500101,19900427,,0263,,,,1804,19900427,PK,,,,,19500101,19900427,,1870385363,302953917,Nasier,,,Boeddhoe,19500919,Amritsar,7046,M,,,,20000308,1804,6030,S,P,1804,50B0040,,,,,,,,20000308,20000309,55,,,,,,,,,,,,,,,,,#ADDIN?,E,19900427,1804,0,0003,20110131131521000,P,,1804,19900427,,,,,,,,,,,,,,,5003,#ADDIN?,Bümplizstrasse 189,3018 Bern,,,,I,,,,,,#ADDIN?,20140410,58,,,,,,,,,,,,,,,,,,,,,,25,,20100630,,,,,20110130,20110131,60,,,,,,,,,,,,,,,,,,,,,,1,0000,00000000,5007,,,,00000000,19900427,,,,,,,,,,,900302,20030710,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870385363,302953917,Nasier,,,Boeddhoe,19500919,Amritsar,7046,M,19980201,1804,6030,,,,,P,1804,5 A0040,,,,,,,,19980201,19980201,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19900427,W,,19900427,Erasmusweg,Erasmusweg,143,,,,2532CG,Toetsoog,1804100000000003,1804200000000003,,,,,,,5007,19900427,T,,,,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,91,,19990501,,,,,19990501,20001115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900303,19960115,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19900427,W,,19900427,Erasmusweg,,143,,,,2532CG,,,,,,,,,,5007,19900427,A,,,,,,19900427,19900427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900202,19951101,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
4,2573045981,299999956,Mohamed,,El,Rafi,19490228,Suez,7014,M,,,E,,,0599,19940310,PK,,,,,19490228,19951001,,,,Benażir,,,Hoessein,,,,V,19490228,,,0599,19940310,PK,,,,,19490228,19940310,,8019403152,300933927,Anwar,,,Rafi,19240313,Suez,7014,M,19490228,0599,1 H0004,,,,,,,,19940316,19940320,,0112,,,,0599,19940310,PK,,,,,19490228,19940310,,7956913492,300841917,Michal,,,Jansen,19700101,Odessa,9049,M,19980815,1804,6030,,,,,P,1804,5 A0025,,,,,,,,19980815,19980817,,,,,,,,,,,,,,,,,,#ADDIN?,E,19940310,0599,0,0003,20110131131520000,P,,1804,20000229,,,,,,,,,,,,,,,6004,#ADDIN?,1a. Avenida 12-46,"Zona 10, Guatemala City",,,,I,,,,,,#ADDIN?,20140410,58,,,,,,,,,,,,,,,,,,,,,,21,20150630,20100630,,,,,20110130,20110131,60,,,,,,,,,,,,,,,,,,,,,,1,0000,00000000,7014,,,,00000000,19940310,,,,,,,,,,,900302,20030606,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019403152,300933927,Anwar,,,Rafis,19240313,Suez,7014,M,19490228,,,0599,19940315,PL gerelateerde,,,,,19940312,19940315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,20000229,W,,20000229,Kokkelhof,Kokkelhof,13,,,,2492SE,Toetsoog,1804100000000004,1804200000000004,,,,,,,7014,19930701,T,,,,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,26,,19980701,,,,,19980701,20001115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900303,19960115,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019403152,300933927,Anwar,,,Rafi,19240313,Suez,7014,M,19490228,,,0599,19940312,Opnemen SoFi-nummer,,,,O,19940312,19940312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,20000229,W,,20000229,Kokkelhof,,13,,,,2492SE,,,,,,,,,,7014,19930701,A,,,,,,20000229,20000229,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900202,19951101,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019403152,,Anwar,,,Rafis,19240313,Suez,7014,M,19490228,,,0599,19940315,PL gerelateerde,,,,,19940311,19940315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0599,19930701,W,,19930701,Poseidonstraat,,26,,,,3054PZ,,,,,,,,,,7014,19930701,A,,,,,,19930701,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8019403152,,Anwar,,,Rafi,19240313,Suez,7014,M,19490228,,,0599,19940311,PL gerelateerde,,,,O,19940311,19940311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anwar,,,Rafis,19240313,Suez,7014,M,19490228,,,0599,19940315,Geboorteakte,,,,,19490228,19940315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anwar,,,Rafi,19240313,Suez,7014,M,19490228,,,0599,19940310,PK,,,,O,19490228,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7650710430,299999944,Măŀĩka,,,Vųlĸovā,00000000,0000,0000,V,,,E,,,1804,19940310,PK,,,,,00000000,19951001,,,,Danuta,,,Vųlĸovā,,,,V,00000000,,,1804,19940310,PK,,,,,00000000,19940310,,,,,,,,,,,,,,,1804,19940311,PK,,,,,00000000,19940311,53,,,,,1804,19940311,PK,,,,,19931231,19940312,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ADDIN?,E,19940310,1804,0,0003,20110131152530000,P,,1804,19891119,,,,,,,,,,,,,,,6005,#ADDIN?,Aguiyi Ironsi St,Abuja 900001,,,,I,,,,,,#ADDIN?,20140410,58,,,,,,,,,,,,,,,,,,,,,,21,20150630,20100630,,,,,20110130,20110131,60,,,,,,,,,,,,,,,,,,,,,,1,0000,00000000,7048 5097 5098,,,,00000000,19940310,,,,,,,,,,,900302,20030606,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,M,00000000,,,1804,19940310,PK,,,,O,00000000,19940310,,0039,,,,1804,19940310,PK,,,,,00000000,19940310,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19891119,W,,19900501,Jonkheer van Riemsdijkln,Jonkheer van Riemsdijklaan,41,,,,2497BX,Toetsoog,1804100000000005,1804200000000005,,,,,,,7048,19891119,T,,,,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,26,,20010501,,,,,20010615,20010618,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900202,19951115,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19930101,19940311,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,19891119,W,,19900501,Jonkheer van Riemsdijkln,,41,,,,2497BX,,,,,,,,,,7048,19891119,A,,,,,,19900501,19940310,,,,,,,,,,,,,,,,,,,,,,,98,,19930701,,,,,19930701,20001115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900208,19941030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0078,,,,1804,19940310,PK,,,,,00000000,19940310,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0038,,,,1804,19940310,PK,,,,,19911231,19940312,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,038,,1804,19940311,PK,,,,,19911231,19940311,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,017,,,1804,19940310,PK,,,,,19861010,19940310,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0027,,,,1804,19940311,PK,,,,,00000000,19940311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1534158204,299999932,Jan,,de,Cuykelaer,19771210,Spa,5010,M,,,E,,,1804,19940310,PKA,,,,,19771210,19951001,,,,Mariette,,,Gooskens,19560210,Peer,5010,V,19771210,,,1804,19940310,PK,,,,,19771210,19940310,,,,Jean,,de,Cuykelaer,19551210,Spa,5010,M,19771210,,,1804,19940310,PK,,,,,19771210,19940310,,0052,,,,1804,19940310,PK,,,,,19771210,19940310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ADDIN?,E,19940310,1804,1,0003,20110102153010000,P,,1804,20000228,,,,,,,,,,,,,,,6006,#ADDIN?,Al Fatah Street The Corniche,Tripoli 91781,,,,I,,,,,,#ADDIN?,20140410,58,,,,,,,,,,,,,,,,,,,,,,28,,20010401,,,,,20010401,20010601,60,,,,,,,,,,,,,,,,,,,,,,1,0000,00000000,5010,,,,00000000,19940310,,,,,,,,,,,900302,20030606,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,20000228,W,,20000228,Thorbeckelaan,Thorbeckelaan,731,,,,2564CJ,Toetsoog,1804100000000006,1804200000000006,,,,,,,5010,19980802,T,,081400,20000327,,,20091101,20091101,58,,,,,,,,,,,,,,,,,,,,,,15,,19950401,,,,,19950401,20001116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900303,19960612,14
